l_x,l_y,l_z
76.69,11.67,-108.36
49.29,-123.87,-67.42
96.46,-248.46,-136.94
156.49,-407.06,-225.51
228.83,-597.84,-331.98
311.96,-817.22,-454.39
405.70,-1064.49,-592.36
509.53,-1338.54,-745.23
623.12,-1638.19,-912.51
151.26,23.33,-218.44
37.71,135.65,-50.59
73.37,271.95,-103.23
118.76,445.77,-170.46
173.02,653.27,-250.51
235.66,893.16,-343.18
305.29,1163.76,-448.46
381.68,1463.33,-565.35
465.79,1790.89,-692.95
2.24,0.05,1.71
-100.24,-15.93,152.45
-174.91,-27.56,262.39
-249.59,-39.15,372.31
-361.68,-56.66,537.09
-495.22,-77.43,733.79
-645.82,-100.90,955.52
-812.58,-126.88,1200.98
-995.39,-155.53,1469.71
