rfi_id,name,Cat_1,Cat_2,modulation,start_freq,end_freq,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19,A_20,A_21,A_22,A_23,A_24,A_25
1,ratscat_low_fq,intermittent,radar,AM-SSB,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,aircraft_navigation_dme,intermittent,communication,BPSK,1025,1150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,aeronautical_iff_gnd2air,intermittent,communication,BPSK,1030,1030,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,aeronautical_iff_air2gnd,intermittent,communication,BPSK,1090,1090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,GPS_galileo,Continueous,GPS_Satellite,BPSK,1166,1186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,VLA_modem,Continueous,Modem,QPSK,1200,1200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,GPS_L2,Continueous,GPS_Satellite,BPSK,1217,1237,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,tars_pulsed_radar,intermittent,radar,AM-SSB,1223,1225,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,aerostat_bliss,malfunction,communication,BPSK,1231,1231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,FAA_ARSR4_1,Continueous,radar,AM-SSB,1234,1234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,GLONASS_L2,Continueous,GPS_Satellite,QPSK,1243,1251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,tars_pulsed_radar_deming,pulsed_intermittent,radar,AM-SSB,1252,1253,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,FAA ARSR4 Deming,Continueous,radar,AM-SSB,1255,1255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,FAA ARSR4 Eagle Peak,Continueous,radar,AM-SSB,1262,1262,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,compass_e6,intermittent,GPS_Satellite,QPSK,1268,1268,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,tars_pulsed_radar_deming,pulsed_interrmittent,radar,AM-SSB,1283,1284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,FAA ARSR4 Albuquerque,Continueous,radar,AM-SSB,1310,1310,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,FAA_ARSR4_1,Continueous,radar,AM-SSB,1317,1317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,FAA ARSR4 Deming,Continueous,radar,AM-SSB,1337,1337,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,FAA ARSR4 Eagle Peak,Continueous,radar,AM-SSB,1345,1345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,wsmr_rajpr_transponder,intermittent,transponder,BPSK,1357,1357,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,wsmr_rajpr_transponder,intermittent,transponder,BPSK,1365,1365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,wsmr_rajpr_transponder,intermittent,transponder,BPSK,1369,1369,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,gps_l3_nudet,intermittent,GPS_Satellite,QPSK,1376,1386,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,wsmr_rajpr_transponder,intermittent,transponder,BPSK,1385,1385,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,wsmr_rajpr_transponder,intermittent,transponder,BPSK,1393,1393,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
